start_timestamp,end_timestamp,subject_id,Magnitude_mean,Magnitude_std_dev,Magnitude_var,Magnitude_avg_diff_mean,Magnitude_above_mean_rt,Magnitude_median,Magnitude_med_dev,Magnitude_iqr,Magnitude_skewness,Magnitude_kurtosis,Magnitude_min,Magnitude_max,Magnitude_maxmin_diff,Magnitude_peaks_rt,Magnitude_rest_rt,Magnitude_ssc_rt,Magnitude_rms,Magnitude_energy,Magnitude_sampen,Magnitude_dfa,PC1_mean,PC1_mean_abs,PC1_std_dev,PC1_var,PC1_avg_diff_mean,PC1_above_mean_rt,PC1_median,PC1_med_dev,PC1_iqr,PC1_skewness,PC1_kurtosis,PC1_min,PC1_max,PC1_maxmin_diff,PC1_neg_rt,PC1_pos_rt,PC1_zero_cross_rt,PC1_peaks_rt,PC1_rest_rt,PC1_ssc_rt,PC1_rms,PC1_energy,PC1_sampen,PC1_dfa,Magnitude_fft_mean,Magnitude_fft_std_dev,Magnitude_fft_var,Magnitude_fft_avg_diff_mean,Magnitude_fft_above_mean_rt,Magnitude_fft_median,Magnitude_fft_med_dev,Magnitude_fft_iqr,Magnitude_fft_skewness,Magnitude_fft_kurtosis,Magnitude_fft_min,Magnitude_fft_max,Magnitude_fft_maxmin_diff,Magnitude_fft_peaks_rt,Magnitude_fft_rest_rt,Magnitude_fft_ssc_rt,Magnitude_fft_rms,Magnitude_fft_tot_power,Magnitude_fft_dom_freq_rt,Magnitude_fft_energy,Magnitude_fft_dom_freq,Magnitude_fft_pw_ar_dom_freq,Magnitude_fft_entropy,Magnitude_fft_flatness,PC1_fft_mean,PC1_fft_std_dev,PC1_fft_var,PC1_fft_avg_diff_mean,PC1_fft_above_mean_rt,PC1_fft_median,PC1_fft_med_dev,PC1_fft_iqr,PC1_fft_skewness,PC1_fft_kurtosis,PC1_fft_min,PC1_fft_max,PC1_fft_maxmin_diff,PC1_fft_peaks_rt,PC1_fft_rest_rt,PC1_fft_ssc_rt,PC1_fft_rms,PC1_fft_tot_power,PC1_fft_dom_freq_rt,PC1_fft_energy,PC1_fft_dom_freq,PC1_fft_pw_ar_dom_freq,PC1_fft_entropy,PC1_fft_flatness,Constancy_of_rest,Kinetic_tremor,Postural_tremor,Rest_tremor
15:00.0,15:20.5,11,0.026805514,0.03061521,0.000937291,0.018906555,0.329101563,0.017788349,0.010121782,0.024214682,4.905112180281276,41.97566311862423,0.000163548,0.3890598406573984,0.388896292,0.147949219,0.99609375,0.295898438,0.04069185,0.001655827,0.4351993530574986,1.0565229627471484,-4.30E-06,0.014533644,0.027886919,0.00077768,0.014533522,0.485839844,-0.000216942,0.006641474,0.013244118,1.2282541287015714,32.41760459203838,-0.269603341,0.3265589779083657,0.5961623185610226,0.514160156,0.485839844,0.133789063,0.0859375,0.998535156,0.171875,0.027886919,0.00077768,0.3377408197591397,0.2666191108104153,0.002372048,0.046406077,0.002153524,0.003928432,0.061463415,2.5204489673528936e-05,2.413191388708796e-05,0.000482554,31.017983900172197,977.3253383855056,5.868362875424629e-09,1.4715608346445628,1.471560829,0.3570731707317073,0.9990243902439024,0.7141463414634146,0.046466661,0.2367428353867176,6.215862170615552,4.857953743390649,0,0,3.515421070144796,0.016937124,0.000776922,0.002678961,7.176829588962031e-06,0.001265271,0.1512195121951219,9.797962330025732e-09,6.521361628436177e-09,1.353407969852924e-05,6.370242019612642,55.68921937359882,2.002413543963624e-09,0.034885358,0.034885356,0.1814634146341463,1,0.3619512195121951,0.002789343,0.077540859,0.4498964532009569,1.5911354064209668,5.810546875,0.5353562599493789,6.922099532039367,0.00026686,1,0,0,0
15:10.2,15:30.7,11,0.013528796,0.013011001,0.000169286,0.008199547,0.345214844,0.00987976,0.004664403,0.010735814,4.200999932670919,32.38436659112193,0.000738809,0.1725581855291666,0.1718193760426267,0.15234375,1,0.3046875,0.018770042,0.000352314,0.6349159067070922,1.0012578434484474,4.73904346124391e-06,0.005601908,0.010317293,0.000106447,0.005601936,0.497070313,-2.19E-05,0.003406907,0.006791757,2.490250646558662,39.62041793309761,-0.07031334,0.1335120926803097,0.203825433,0.502929688,0.497070313,0.139160156,0.087890625,1,0.175292969,0.010317294,0.000106447,0.4946148559571811,0.250598199,0.000534821,0.011744964,0.000137944,0.000903776,0.065365854,5.199438283557579e-06,5.032425695658702e-06,8.474133093896046e-05,31.59672810874699,1003.4703018073424,5.059278524442081e-10,0.3748419788038331,0.3748419782979052,0.2995121951219512,0.9990243902439024,0.6,0.011757135,0.053377906,7.022418249108204,1.0953125410967637,0,0,3.057380670867035,0.013811067,0.000106343,0.000324409,1.0524108939475057e-07,0.000169606,0.1678048780487805,3.882831311915156e-09,3.288250636153614e-09,6.422180740769984e-06,4.909813918532294,30.818171127278987,2.5673212821766704e-10,0.003400516,0.003400516,0.2097560975609756,1,0.4195121951219512,0.000341394,0.010613563,0.3203934882208923,0.2177898903904396,6.54296875,0.07563218,7.140167600480756,0.000546924,1,0,0,0
15:20.5,15:40.9,11,0.007207693,0.004946776,2.4470594690092327e-05,0.003427944,0.369628906,0.006022147,0.002228518,0.004693095,2.3188824860973027,8.673266028738674,0.000187711,0.043305298,0.043117587,0.158203125,1,0.31640625,0.008741936,7.642144015187333e-05,0.9213684432972084,0.9776617599667636,7.933942461089436e-06,0.002950811,0.00391621,1.533669751107798e-05,0.002950757,0.503417969,3.558296195235916e-05,0.002330904,0.004652872,-0.419369137,2.543327847589852,-0.025140378,0.012732197,0.037872575,0.496582031,0.503417969,0.150878906,0.091796875,1,0.183105469,0.003916218,1.5336760458520953e-05,0.7030259699082789,0.1899696067109538,0.000128247,0.003322474,1.1038833939727522e-05,0.000226214,0.032195122,8.9241148614481e-07,8.594200497859922e-07,1.3938555205387122e-05,31.922039012308726,1017.9978940093343,1.0095774481878451e-09,0.1063953315057274,0.10639533,0.3297560975609756,1,0.6595121951219513,0.003324948,0.012799731,8.312310255,0.2626499713695793,0,0,2.063821548101532,0.009552749,1.532186076983358e-05,4.942553115084107e-05,2.442883129542761e-09,2.4632278232091945e-05,0.1668292682926829,1.8283604921547118e-09,1.5771021337084155e-09,7.277287424078367e-07,5.716504517978049,44.33910013964928,2.4274471685791253e-10,0.000616566,0.000616566,0.193170732,1,0.3863414634146341,5.174594232394388e-05,0.001529202,0.4031947575807095,0.031379171,6.34765625,0.010352924,7.0628258472182255,0.001100493,1,0,0,0
15:30.7,15:51.2,11,0.006783928,0.005211864,2.7163521279222726e-05,0.003297637,0.344726563,0.005582061,0.001922925,0.003964297,2.8254573920268258,10.667108815336272,0.000187711,0.043305298,0.043117587,0.162597656,1,0.325195313,0.008554835,7.318519549421584e-05,0.8280977218326652,1.0070752710188724,2.669485136842293e-06,0.002944325,0.003979674,1.5837801458230186e-05,0.002944305,0.50390625,2.1532625641430857e-05,0.002309895,0.004623265,-0.348487246,3.256757374115136,-0.025140378,0.016546948,0.041687326,0.49609375,0.50390625,0.157714844,0.094726563,1,0.189941406,0.003979674,1.5837808584381083e-05,0.6957525773144642,0.1887427387298059,0.000119091,0.002944345,8.669167234409934e-06,0.000206896,0.042926829,9.402568799396304e-07,9.17449814775928e-07,1.3742180651256696e-05,31.882397506626127,1016.2829048074008,3.313221807991886e-10,0.094252389,0.094252388,0.3395121951219512,1,0.68,0.002946752,0.011885866,7.929787068186139,0.2438975124105711,0,0,2.379057665676674,0.010631077,1.5822365342130614e-05,4.6148400462233896e-05,2.129674865222709e-09,2.533966354839397e-05,0.1648780487804878,4.881886238306197e-09,2.45143438011805e-09,5.057463249234788e-07,4.004924704482144,17.984302817534715,1.316886524327174e-10,0.000359205,0.000359205,0.1960975609756097,1,0.3921951219512195,4.878547027796868e-05,0.001579155,0.2274666055603844,0.032404204,3.02734375,0.005235646,7.161251365696642,0.002744312,1,0,0,0
15:41.0,16:01.4,11,0.008007103,0.006778703,4.5950808135796094e-05,0.004232475,0.319824219,0.006272086,0.002292793,0.004788183,3.185861365,14.461619866218648,0.000495453,0.066068279,0.065572826,0.158203125,1,0.315917969,0.010491163,0.000110065,0.709461643,1.0886113293745094,1.2735387202856386e-06,0.003631254,0.005181658,2.684957665975505e-05,0.003631227,0.510742188,9.000994112356802e-05,0.002611988,0.005183446,0.2207062943972564,4.644672582897837,-0.025647621,0.034290358,0.059937979,0.489257813,0.510742188,0.151367188,0.092285156,1,0.184570313,0.005181658,2.684957828165592e-05,0.629348119,0.2325612193333357,0.000174008,0.004103924,1.684219426469693e-05,0.000303676,0.03902439,1.429483439812066e-06,1.3814505280408246e-06,2.1606807493839135e-05,31.828130178428264,1013.9479333002504,8.473611443811314e-11,0.1313048608377517,0.1313048607530156,0.3414634146341463,1,0.6829268292682927,0.004107612,0.017366943,7.560620200718619,0.3563689947079264,0,0,2.6194430913901896,0.01137962,2.682338569782296e-05,8.940135462491973e-05,7.992602208770655e-09,4.352449427879176e-05,0.1580487804878048,2.0964806863441936e-09,1.0432793096547883e-09,1.2991385518353938e-06,5.668316807926124,43.54082752097732,3.4472142306009827e-11,0.001097145,0.001097145,0.2019512195121951,1,0.4039024390243902,9.333861060174844e-05,0.002677115,0.4098235909345691,0.054934294,5.615234375,0.01958632,6.960069515351982,0.001072653,1,0,0,0
15:51.2,16:11.7,11,0.007362711,0.006171947,3.809293567437043e-05,0.003633921,0.337890625,0.005891565,0.002044146,0.004383886,3.901797099622073,21.880171473745666,0.00045202,0.066068279,0.065616259,0.154785156,1,0.310058594,0.009607416,9.230244487636952e-05,0.735182696,1.0591465481621156,-1.05E-05,0.003669487,0.005175543,2.6786248689239877e-05,0.003669793,0.514648438,0.000142724,0.002646705,0.005276025,0.2112487684408875,4.413367551103792,-0.025647621,0.034290358,0.059937979,0.485839844,0.514160156,0.146972656,0.088867188,1,0.177246094,0.005175554,2.678635942509532e-05,0.6331465727557352,0.1988154949939915,0.000146369,0.003469597,1.2038104700867616e-05,0.000256828,0.03902439,1.060671485539144e-06,1.0138988636671216e-06,1.746494156884458e-05,31.838394868648365,1014.3961926570338,4.387908684332639e-11,0.1110210748456941,0.111021075,0.3180487804878049,1,0.6360975609756098,0.003472683,0.014608398,7.599811963095949,0.2997637486777818,0,0,2.578981084472161,0.010610307,2.676033845924706e-05,8.762802845470636e-05,7.678671370858827e-09,4.3524845438024525e-05,0.1512195121951219,7.3343221059984894e-09,4.3141434816202925e-09,8.900957153209546e-07,4.998709687009053,30.19357651323765,6.26706766840034e-10,0.000883085,0.000883084,0.1980487804878049,1,0.3951219512195122,9.162307070444803e-05,0.002670822,0.3306416275372542,0.054805173,5.6640625,0.020427938,6.964926340499354,0.002529757,1,0,0,0
16:01.4,16:21.9,11,0.017986554,0.035888315,0.001287971,0.019586787,0.145019531,0.006654377,0.002700764,0.006090234,4.101458175293338,19.85095802360124,0.000405363,0.3229977831285754,0.3225924198485506,0.151367188,0.9921875,0.302734375,0.040143334,0.001611487,0.065482605,1.154542914912482,-4.64E-06,0.010892462,0.029047286,0.000843745,0.010892408,0.494140625,-6.85E-05,0.003036866,0.006135521,0.3500519543874457,28.15595745,-0.236019442,0.2913258361265037,0.5273452779724601,0.505859375,0.494140625,0.138183594,0.088378906,0.998535156,0.177246094,0.029047287,0.000843745,0.147606879,0.3517831314609135,0.001933117,0.024034608,0.000577662,0.003204274,0.062439024,9.923657447905309e-06,9.63285855054086e-06,0.000420728,22.634339431461505,578.0150476,2.53447843341619e-09,0.662561001,0.6625609985964066,0.2019512195121951,0.9970731707317072,0.4048780487804878,0.024112223,0.1929352782552249,3.434110169600058,3.9590243806156256,0,0,4.405885033358753,0.010356522,0.000842922,0.002672094,7.140086556154873e-06,0.001370994,0.1629268292682927,3.449922275745004e-08,1.9221745420684548e-08,8.767272488835853e-06,4.989787948657363,30.56398180248671,2.862205769591434e-09,0.026111853,0.02611185,0.1346341463414634,1,0.2682926829268293,0.002801893,0.084128021,0.3103823508090795,1.726303699320071,6.103515625,0.570701741,7.026169339343616,0.000560979,1,0,0,0
16:11.7,16:32.1,11,0.017922207,0.035901809,0.00128894,0.019610607,0.145996094,0.006656344,0.002584353,0.005591569,4.101960361536973,19.84610080688302,0.00027177,0.3229977831285754,0.322726014,0.149902344,0.9921875,0.300292969,0.040126617,0.001610145,0.057250595,1.1596091982075445,8.820608765158683e-06,0.010758122,0.02901795,0.000842041,0.010758163,0.497070313,-2.95E-05,0.00297661,0.005878864,0.3497048044645574,28.28121312,-0.236019442,0.2913258361265037,0.5273452779724601,0.501953125,0.498046875,0.142578125,0.092285156,0.998535156,0.184082031,0.029017951,0.000842041,0.1410969360312152,0.6437560004231677,0.001929469,0.023918975,0.000572117,0.003197959,0.065365854,9.767214167432215e-06,9.46361986840548e-06,0.000447428,22.532116401318863,573.1445893319288,1.1729261055694354e-08,0.6578288998310927,0.6578288881018317,0.2253658536585366,0.9970731707317072,0.4517073170731707,0.02399667,0.1925711225626645,3.416030872526221,3.951551920015239,0,0,4.410944542628229,0.010518017,0.00084122,0.00267142,7.136485504442371e-06,0.001369234,0.1580487804878048,1.716152726971479e-09,1.1139336690145344e-09,8.938473405922514e-06,5.057700976478029,31.615626047185444,1.1058623710987048e-10,0.027646304,0.027646304,0.1590243902439024,1,0.3180487804878049,0.002800739,0.083958186,0.3292865806675825,1.7228186913909915,6.15234375,0.5663158686757338,7.028007789523637,8.229341384575868e-05,1,0,0,0
16:21.9,16:42.4,11,0.01343653,0.018648005,0.000347748,0.012136489,0.197265625,0.006530036,0.002543109,0.005763551,2.614198903,6.499289542404757,0.00027177,0.1149814529787522,0.1147096834445347,0.148925781,1,0.298339844,0.022984526,0.000528288,0.2221166855762369,1.009140584427168,4.26370392947528e-06,0.006995471,0.014852605,0.0002206,0.006995488,0.498046875,-3.93E-05,0.002811925,0.005619295,-0.223376734,14.448889552408971,-0.106516792,0.094621985,0.2011387763205011,0.501953125,0.498046875,0.150390625,0.094726563,1,0.189453125,0.014852606,0.0002206,0.3334745420110819,0.1584846553973491,0.000708137,0.012258006,0.000150259,0.001235887,0.04097561,4.063836134834565e-06,4.002731877126292e-06,8.094385946894904e-05,27.415245415187165,804.4075166973299,2.9655839879225837e-10,0.3697465955879002,0.3697465952913418,0.2995121951219512,0.9990243902439024,0.6,0.012278443,0.070675838,5.231584208648355,1.4502654281633969,0,0,3.3125327816715595,0.006583793,0.000220385,0.000729229,5.317748809036488e-07,0.000359638,0.1609756097560975,5.652558816290123e-09,4.331378605442306e-09,3.947646215391569e-06,6.035697192126328,50.427746561061056,4.9854039360558335e-11,0.009131121,0.009131121,0.1560975609756097,1,0.3121951219512195,0.000761803,0.021995552,0.4151348805211677,0.4513478761128555,5.029296875,0.1429311600693989,6.983454647160489,0.000374232,1,0,0,0
16:32.2,16:52.6,11,0.027681771,0.044890965,0.002015199,0.028314387,0.248046875,0.00963145,0.005039565,0.020861426,3.7627222108052494,19.602973359093426,0.000326934,0.411178,0.4108510657497313,0.144042969,0.989257813,0.288085938,0.052739731,0.002781479,0.078173503,1.2060319559098744,-2.26E-06,0.015606663,0.035783631,0.001280468,0.015606632,0.493164063,-0.000134665,0.004146215,0.008257883,0.093256655,24.092651968232577,-0.345774093,0.2805069741751491,0.6262810674938827,0.506835938,0.493164063,0.144042969,0.08984375,0.99609375,0.1796875,0.035783631,0.001280468,0.1322451344941174,0.3690131547831156,0.003544299,0.051969578,0.002700837,0.006120027,0.053658537,1.018346345061118e-05,1.008154066842025e-05,0.000419487,27.351377610449223,805.4864216208562,1.8134949519601962e-09,1.5693424010004722,1.5693423991869773,0.3317073170731707,0.9960975609756098,0.6643902439024391,0.052090298,0.353739632,4.436433628679614,7.258723452487155,0,0,4.0510785449069004,0.004625875,0.001279219,0.003999685,1.599748272950309e-05,0.002112011,0.1492682926829268,3.9466370869239454e-08,2.1473902337275873e-08,9.706143444387682e-06,4.329404080092804,21.619323151697625,8.05923917578068e-09,0.034859413,0.034859405,0.1892682926829268,1,0.3775609756097561,0.004199272,0.1276727859407691,0.2730371460900156,2.619840585151961,3.369140625,0.7614539140048417,6.972163256991555,0.00044368,1,0,0,0
