user_id,age,role,category,tier
1,17,Student,Basic,Tier 1
2,30,Working Professional,Premium,Tier 3
3,18,Student,Basic,Tier 1
4,17,Student,Basic,Tier 1
5,39,Working Professional,Premium,Tier 3
6,34,Business Owner,Premium,Tier 3
7,41,Business Owner,Premium,Tier 3
8,36,Business Owner,Premium,Tier 3
9,19,Student,Basic,Tier 1
10,29,Freelancer,Standard,Tier 2
11,24,Freelancer,Standard,Tier 2
12,22,Student,Basic,Tier 1
13,36,Business Owner,Premium,Tier 3
14,75,Retired,Basic,Tier 1
15,60,Retired,Basic,Tier 1
16,55,Business Owner,Premium,Tier 3
17,45,Working Professional,Premium,Tier 3
18,32,Working Professional,Premium,Tier 3
19,26,Working Professional,Standard,Tier 2
20,69,Retired,Basic,Tier 1
21,27,Freelancer,Standard,Tier 2
22,19,Student,Basic,Tier 1
23,28,Working Professional,Standard,Tier 2
24,38,Freelancer,Standard,Tier 2
25,22,Freelancer,Standard,Tier 2
26,22,Student,Basic,Tier 1
27,20,Student,Basic,Tier 1
28,50,Business Owner,Premium,Tier 3
29,70,Retired,Basic,Tier 1
30,62,Retired,Basic,Tier 1
31,40,Working Professional,Premium,Tier 3
32,41,Business Owner,Premium,Tier 3
33,69,Retired,Basic,Tier 1
34,39,Working Professional,Premium,Tier 3
35,18,Student,Basic,Tier 1
36,44,Working Professional,Premium,Tier 3
37,23,Student,Basic,Tier 1
38,74,Retired,Basic,Tier 1
39,55,Business Owner,Premium,Tier 3
40,21,Student,Basic,Tier 1
41,24,Freelancer,Standard,Tier 2
42,37,Working Professional,Premium,Tier 3
43,37,Freelancer,Standard,Tier 2
44,31,Business Owner,Premium,Tier 3
45,37,Freelancer,Standard,Tier 2
46,34,Working Professional,Premium,Tier 3
47,52,Business Owner,Premium,Tier 3
48,22,Student,Basic,Tier 1
49,22,Student,Basic,Tier 1
50,28,Freelancer,Standard,Tier 2
51,30,Business Owner,Premium,Tier 3
52,60,Retired,Basic,Tier 1
53,52,Business Owner,Premium,Tier 3
54,75,Retired,Basic,Tier 1
55,55,Business Owner,Premium,Tier 3
56,40,Working Professional,Premium,Tier 3
57,45,Working Professional,Premium,Tier 3
58,35,Freelancer,Standard,Tier 2
59,61,Retired,Basic,Tier 1
60,22,Student,Premium,Tier 3
61,41,Working Professional,Premium,Tier 3
62,17,Student,Basic,Tier 1
63,22,Student,Basic,Tier 1
64,31,Working Professional,Premium,Tier 3
65,40,Working Professional,Premium,Tier 3
66,46,Business Owner,Premium,Tier 3
67,71,Retired,Basic,Tier 1
68,23,Student,Basic,Tier 1
69,72,Retired,Basic,Tier 1
70,18,Student,Basic,Tier 1
71,24,Freelancer,Standard,Tier 2
72,40,Working Professional,Premium,Tier 3
73,63,Retired,Basic,Tier 1
74,25,Working Professional,Standard,Tier 2
75,31,Business Owner,Premium,Tier 3
76,54,Business Owner,Basic,Tier 1
77,28,Working Professional,Standard,Tier 2
78,64,Retired,Basic,Tier 1
79,19,Student,Basic,Tier 1
80,66,Retired,Basic,Tier 1
81,67,Retired,Basic,Tier 1
82,49,Business Owner,Premium,Tier 3
83,29,Working Professional,Standard,Tier 2
84,17,Student,Basic,Tier 1
85,17,Student,Basic,Tier 1
86,55,Business Owner,Premium,Tier 3
87,18,Student,Basic,Tier 1
88,18,Student,Basic,Tier 1
89,35,Working Professional,Premium,Tier 3
90,35,Business Owner,Premium,Tier 3
91,18,Student,Basic,Tier 1
92,46,Business Owner,Premium,Tier 3
93,27,Freelancer,Standard,Tier 2
94,28,Freelancer,Standard,Tier 2
95,44,Working Professional,Premium,Tier 3
96,68,Retired,Basic,Tier 1
97,17,Student,Basic,Tier 1
98,31,Business Owner,Premium,Tier 3
99,39,Working Professional,Premium,Tier 3
100,23,Freelancer,Standard,Tier 2
101,30,Freelancer,Standard,Tier 2
102,50,Business Owner,Premium,Tier 3
103,28,Business Owner,Premium,Tier 3
104,37,Business Owner,Premium,Tier 3
105,19,Student,Basic,Tier 1
106,19,Student,Basic,Tier 1
107,34,Business Owner,Premium,Tier 3
108,44,Working Professional,Premium,Tier 3
109,37,Freelancer,Standard,Tier 2
110,18,Student,Basic,Tier 1
111,22,Freelancer,Basic,Tier 1
112,26,Freelancer,Standard,Tier 2
113,50,Business Owner,Premium,Tier 3
114,18,Student,Basic,Tier 1
115,40,Working Professional,Standard,Tier 2
116,45,Business Owner,Premium,Tier 3
117,24,Working Professional,Standard,Tier 2
118,22,Student,Basic,Tier 1
119,44,Working Professional,Premium,Tier 3
120,55,Business Owner,Premium,Tier 3
